problem_id,F,J,M,Best,status
I_3_10_2_2,3,10,2,313,optimal
I_3_10_2_3,3,10,2,395,optimal
I_3_10_2_4,3,10,2,400,optimal
I_3_10_2_5,3,10,2,278,optimal
I_3_10_3_1,3,10,3,563,optimal
I_3_10_3_2,3,10,3,518,optimal
I_3_10_3_3,3,10,3,406,optimal
I_3_10_3_4,3,10,3,374,optimal
I_3_10_3_5,3,10,3,398,optimal
I_3_10_4_1,3,10,4,525,optimal
I_3_10_4_2,3,10,4,372,optimal
I_3_10_4_3,3,10,4,305,optimal
I_3_10_4_4,3,10,4,420,optimal
I_3_10_4_5,3,10,4,485,optimal
I_3_10_5_1,3,10,5,396,optimal
I_3_10_5_2,3,10,5,489,optimal
I_3_10_5_3,3,10,5,574,optimal
I_3_10_5_4,3,10,5,409,optimal
I_3_10_5_5,3,10,5,405,optimal
I_3_12_2_1,3,12,2,698,feasible
I_3_12_2_2,3,12,2,718,feasible
I_3_12_2_3,3,12,2,541,feasible
I_3_12_2_4,3,12,2,625,optimal
I_3_12_2_5,3,12,2,837,feasible
I_3_12_3_1,3,12,3,751,feasible
I_3_12_3_2,3,12,3,466,optimal
I_3_12_3_3,3,12,3,635,feasible
I_3_12_3_4,3,12,3,429,optimal
I_3_12_3_5,3,12,3,445,optimal
I_3_12_4_1,3,12,4,830,feasible
I_3_12_4_2,3,12,4,642,optimal
I_3_12_4_3,3,12,4,762,feasible
I_3_12_4_4,3,12,4,958,feasible
I_3_12_4_5,3,12,4,774,feasible
I_3_12_5_1,3,12,5,721,optimal
I_3_12_5_2,3,12,5,465,optimal
I_3_12_5_3,3,12,5,679,optimal
I_3_12_5_4,3,12,5,633,optimal
I_3_12_5_5,3,12,5,677,optimal
I_3_14_2_1,3,14,2,786,feasible
I_3_14_2_2,3,14,2,909,feasible
I_3_14_2_3,3,14,2,959,feasible
I_3_14_2_4,3,14,2,1054,feasible
I_3_14_2_5,3,14,2,750,feasible
I_3_14_3_1,3,14,3,726,feasible
I_3_14_3_2,3,14,3,892,feasible
I_3_14_3_3,3,14,3,814,feasible
I_3_14_3_4,3,14,3,920,feasible
I_3_14_3_5,3,14,3,1180,feasible
I_3_14_4_1,3,14,4,930,feasible
I_3_14_4_2,3,14,4,970,feasible
I_3_14_4_3,3,14,4,1101,feasible
I_3_14_4_4,3,14,4,935,feasible
I_3_14_4_5,3,14,4,904,feasible
I_3_14_5_1,3,14,5,1095,feasible
I_3_14_5_2,3,14,5,1144,feasible
I_3_14_5_3,3,14,5,771,feasible
I_3_14_5_4,3,14,5,1265,feasible
I_3_14_5_5,3,14,5,1413,feasible
I_3_16_2_1,3,16,2,1142,feasible
I_3_16_2_2,3,16,2,880,feasible
I_3_16_2_3,3,16,2,1484,feasible
I_3_16_2_4,3,16,2,1128,feasible
I_3_16_2_5,3,16,2,758,feasible
I_3_16_3_1,3,16,3,1297,feasible
I_3_16_3_2,3,16,3,1258,feasible
I_3_16_3_3,3,16,3,1285,feasible
I_3_16_3_4,3,16,3,1636,feasible
I_3_16_3_5,3,16,3,1231,feasible
I_3_16_4_1,3,16,4,1348,feasible
I_3_16_4_2,3,16,4,1391,feasible
I_3_16_4_3,3,16,4,1577,feasible
I_3_16_4_4,3,16,4,1441,feasible
