Instance,F,n,m,Best
I_2_4_2_1.txt,2,4,2,27
I_2_4_2_2.txt,2,4,2,44
I_2_4_2_3.txt,2,4,2,133
I_2_4_2_4.txt,2,4,2,57
I_2_4_2_5.txt,2,4,2,128
